Sl. No.,District,Completed - 2021-22,Completed - 2020-21,Completed - 2019-20,Completed - 2018-19,Completed - 2017-18,Completed - 2016-17,Ongoing
1,Araria,0,0,0,0,0,0,12
2,Arwal,3,0,0,0,0,0,6
3,Auranagabad,1,0,2,0,0,0,15
4,Banka,0,0,0,0,0,0,24
5,Begusarai,2,0,1,0,0,0,3
6,Bhagalpur,9,9,1,0,0,0,38
7,Bhojpur,3,3,0,0,0,0,35
8,Buxar,2,0,1,0,0,0,20
9,Darbhanga,1,0,0,0,0,0,15
10,Gaya,16,2,0,0,0,0,24
11,Gopalganj,5,4,1,0,0,0,26
12,Jamui,2,0,2,0,0,0,9
13,Jehanabad,0,0,0,0,0,0,16
14,Kaimur (Bhabua),1,1,0,0,0,0,22
15,Katihar,8,5,0,0,0,0,84
16,Khagaria,0,0,0,0,0,0,50
17,Kishanganj,1,1,0,0,0,0,40
18,Lakhisarai,0,1,0,0,0,0,7
19,Madhepura,0,1,0,0,0,0,19
20,Madhubani,0,0,0,0,0,0,10
21,Munger,1,1,0,0,0,0,8
22,Muzaffarpur,48,3,0,0,0,0,62
23,Nalanda,3,4,0,0,0,0,47
24,Nawada,14,5,0,0,0,0,37
25,Pashchim Champaran,4,1,0,0,0,0,26
26,Patna,2,3,3,2,0,0,18
27,Purbi Champaran,5,1,0,0,0,0,33
28,Purnia,3,4,0,0,0,0,32
29,Rohtas,5,9,0,0,0,0,102
30,Saharsa,4,0,0,0,0,0,48
31,Samastipur,6,2,0,3,0,0,43
32,Saran,11,9,1,1,0,0,88
33,Sheikhpura,0,1,0,0,0,0,1
34,Sheohar,0,0,0,0,0,0,4
35,Sitamarhi,4,4,1,0,0,0,18
36,Siwan,0,1,0,0,0,0,13
37,Supaul,5,2,3,0,0,0,18
38,Vaishali,4,16,0,0,0,0,22
Total,Total,173,93,16,6,0,0,1095
